<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
SBER,0,20170721,100215,163.240000000,20
SBER,0,20170721,100215,163.150000000,60
SBER,0,20170721,100215,163.150000000,220
SBER,0,20170721,100215,163.140000000,80
SBER,0,20170721,100215,163.230000000,60
SBER,0,20170721,100215,163.230000000,220
SBER,0,20170721,100215,163.150000000,30
SBER,0,20170721,100215,163.150000000,30
SBER,0,20170721,100215,163.150000000,30
SBER,0,20170721,100215,163.210000000,30
SBER,0,20170721,100215,163.230000000,20
SBER,0,20170721,100215,163.230000000,10
SBER,0,20170721,100216,163.180000000,10
SBER,0,20170721,100216,163.170000000,30
SBER,0,20170721,100216,163.150000000,30
SBER,0,20170721,100216,163.140000000,200
SBER,0,20170721,100216,163.230000000,10
SBER,0,20170721,100216,163.230000000,10
SBER,0,20170721,100216,163.150000000,30
SBER,0,20170721,100216,163.230000000,10
SBER,0,20170721,100216,163.150000000,20
SBER,0,20170721,100216,163.140000000,710
SBER,0,20170721,100216,163.130000000,220
SBER,0,20170721,100216,163.120000000,940
SBER,0,20170721,100216,163.110000000,1000
SBER,0,20170721,100216,163.110000000,10
SBER,0,20170721,100216,163.110000000,10
SBER,0,20170721,100216,163.100000000,590
SBER,0,20170721,100217,163.140000000,100
SBER,0,20170721,100217,163.240000000,30
SBER,0,20170721,100217,163.140000000,30
SBER,0,20170721,100217,163.140000000,60
SBER,0,20170721,100217,163.240000000,240
SBER,0,20170721,100217,163.240000000,20
SBER,0,20170721,100217,163.240000000,50
SBER,0,20170721,100217,163.140000000,610
SBER,0,20170721,100217,163.130000000,270
SBER,0,20170721,100217,163.120000000,2730
SBER,0,20170721,100218,163.120000000,1000
SBER,0,20170721,100218,163.120000000,30
SBER,0,20170721,100219,163.230000000,270
SBER,0,20170721,100219,163.110000000,3000
SBER,0,20170721,100219,163.110000000,10
SBER,0,20170721,100219,163.110000000,490
SBER,0,20170721,100219,163.210000000,10
SBER,0,20170721,100220,163.190000000,10
SBER,0,20170721,100220,163.200000000,120
SBER,0,20170721,100220,163.210000000,350
SBER,0,20170721,100220,163.220000000,1000
SBER,0,20170721,100221,163.150000000,10
SBER,0,20170721,100221,163.140000000,50
SBER,0,20170721,100221,163.240000000,10
SBER,0,20170721,100221,163.250000000,50
SBER,0,20170721,100221,163.250000000,20
SBER,0,20170721,100222,163.250000000,430
SBER,0,20170721,100222,163.250000000,120
SBER,0,20170721,100222,163.260000000,1700
SBER,0,20170721,100222,163.250000000,600
SBER,0,20170721,100222,163.210000000,270
SBER,0,20170721,100222,163.200000000,2460
SBER,0,20170721,100222,163.270000000,270
SBER,0,20170721,100222,163.270000000,110
SBER,0,20170721,100222,163.280000000,720
SBER,0,20170721,100222,163.260000000,10
SBER,0,20170721,100223,163.280000000,10
SBER,0,20170721,100223,163.280000000,270
SBER,0,20170721,100223,163.280000000,230
SBER,0,20170721,100223,163.280000000,10
SBER,0,20170721,100223,163.180000000,10
SBER,0,20170721,100223,163.170000000,10
SBER,0,20170721,100223,163.250000000,10
SBER,0,20170721,100223,163.250000000,10
SBER,0,20170721,100223,163.180000000,270
SBER,0,20170721,100223,163.250000000,10
SBER,0,20170721,100224,163.250000000,10
SBER,0,20170721,100224,163.240000000,220
SBER,0,20170721,100224,163.250000000,280
SBER,0,20170721,100224,163.250000000,680
SBER,0,20170721,100224,163.250000000,840
SBER,0,20170721,100225,163.230000000,10
SBER,0,20170721,100225,163.210000000,10
SBER,0,20170721,100225,163.200000000,280
SBER,0,20170721,100226,163.280000000,10
SBER,0,20170721,100227,163.260000000,10
SBER,0,20170721,100227,163.250000000,50
SBER,0,20170721,100227,163.250000000,10
SBER,0,20170721,100227,163.250000000,520
SBER,0,20170721,100227,163.280000000,10
SBER,0,20170721,100227,163.280000000,40
SBER,0,20170721,100227,163.280000000,80
SBER,0,20170721,100227,163.280000000,90
SBER,0,20170721,100228,163.300000000,10
SBER,0,20170721,100229,163.300000000,10
SBER,0,20170721,100229,163.330000000,10
SBER,0,20170721,100230,163.310000000,10
SBER,0,20170721,100230,163.290000000,10
SBER,0,20170721,100232,163.320000000,10
SBER,0,20170721,100232,163.310000000,10
SBER,0,20170721,100232,163.290000000,10
SBER,0,20170721,100233,163.230000000,1380
SBER,0,20170721,100234,163.230000000,50
SBER,0,20170721,100234,163.230000000,30
SBER,0,20170721,100234,163.220000000,40
SBER,0,20170721,100234,163.220000000,40
SBER,0,20170721,100234,163.200000000,870
SBER,0,20170721,100235,163.230000000,60
SBER,0,20170721,100235,163.230000000,110
SBER,0,20170721,100235,163.200000000,40
SBER,0,20170721,100235,163.200000000,40
SBER,0,20170721,100236,163.200000000,430
SBER,0,20170721,100236,163.240000000,190
SBER,0,20170721,100236,163.240000000,220
SBER,0,20170721,100236,163.240000000,200
SBER,0,20170721,100236,163.240000000,190
SBER,0,20170721,100236,163.240000000,160
SBER,0,20170721,100237,163.240000000,2000
SBER,0,20170721,100237,163.240000000,2040
SBER,0,20170721,100238,163.240000000,940
SBER,0,20170721,100238,163.240000000,230
SBER,0,20170721,100239,163.240000000,2830
SBER,0,20170721,100239,163.240000000,970
